member_id,plan_id,plan_type,valuation_date,status,age,gender,service_years,retirement_age_assumption,salary_current,salary_5y_avg,salary_growth_assumption,contribution_rate_employee,contribution_rate_employer,accrual_rate,benefit_formula,termination_rate,mortality_table,mortality_improvement_scale,discount_rate_base,inflation_assumption,expected_return_on_assets,asset_allocation_equity,asset_allocation_fixed_income,asset_allocation_alts,asset_allocation_cash,assets_market_value_member,liability_pv_member,funded_ratio_member,liability_duration,benefit_payments_next_year_member,probability_retirement_next_year,probability_mortality_next_year,scenario_id,shock_interest_rate_bps,shock_equity_return,shock_inflation_bps,surplus_change_scenario_member,VaR_95_member,CTE_99_member,country,currency
M00596,P003,DC,12/31/2025,Active,44,M,14,62,2366189.469,2213223.435,0.033979977,0.084579884,0.08244542,,account_balance,0.095385098,VBT-2015,MP-2021,0.050775211,0.056623761,0.090053052,0.296557784,0.565762719,0.114449313,0.023230184,9463875.385,9463875.385,1,13.64743888,0,0,0.0047,equity_down_20,0,-0.2,0,-561317.1827,1085179.708,1844475.662,IN,INR
M00597,P004,Hybrid,12/31/2025,Active,47,M,15,62,908095.2605,813955.8824,0.056246472,0.033605105,0.131757009,0.10040693,cash_balance,0.1004899,RP-2014,MP-2021,0.067165796,0.052987692,0.089973671,0.299785539,0.332001537,0.056840482,0.311372443,1517689.715,1696739.999,0.894473941,9.232690602,0,0,0.0056,baseline,0,0,0,0,158841.1177,269981.6201,IN,INR
M00598,P001,DB,12/31/2025,Active,53,M,6,61,1085771.749,963343.5311,0.061643429,0.067486961,0.050904244,0.014116504,career_average,0.059990939,VBT-2015,None,0.074675766,0.054103651,0.076610984,0.487665176,0.432985388,0.074969305,0.00438013,958950.7124,960604.4218,0.99827847,11.772942,0,0,0.0074,equity_down_20,0,-0.2,0,-93529.37363,159851.4613,271698.8972,IN,INR
M00599,P002,DB,12/31/2025,Active,34,M,7,64,478427.4556,438784.6745,0.044196714,0.063835358,0.109414432,0.020369994,final_average,0.132807109,VBT-2015,MP-2021,0.065238392,0.041315908,0.08283801,0.212975341,0.603726377,0.166647003,0.016651279,1008648.446,943223.3609,1.0693633,15.07558457,0,0,0.0017,baseline,0,0,0,0,98530.98243,167472.7215,IN,INR
M00600,P001,DB,12/31/2025,Active,45,M,6,60,777846.3795,681736.7753,0.068165523,0.038083588,0.128994566,0.008048388,flat,0.084623378,IALM_2012-14_Ultimate,MP-2020,0.069084253,0.032548856,0.069312684,0.208219418,0.769605047,0.002084541,0.020090994,530482.6973,527520.3071,1.005615689,16.02368128,0,0,0.005,high_inflation,150,-0.05,300,90649.75698,54262.51156,92229.77649,IN,INR
M00601,P001,DB,12/31/2025,Active,35,M,7,63,2301824.281,2033129.546,0.064029227,0.000727298,0.064553924,0.013557051,final_average,0.124538078,RP-2010,MP-2021,0.057681008,0.051808629,0.08952608,0.228006307,0.576175231,0.116972458,0.078846003,3790683.783,3219900.185,1.177267482,16.68837636,0,0,0.002,rate_up_100bps,100,0,-50,428144.156,367441.9181,624539.5764,IN,INR
M00602,P002,DB,12/31/2025,Active,47,M,10,61,1212582.459,1117262.712,0.041784732,0.025227363,0.078629559,0.012639234,flat,0.11491003,RP-2010,MP-2020,0.064008871,0.059341995,0.062391386,0.427969618,0.426194771,0.088630127,0.057205484,1140004.942,1368292.096,0.833159049,9.689531191,0,0,0.0056,high_inflation,150,-0.05,300,138037.4492,168711.8167,286758.8082,IN,INR
M00603,P001,DB,12/31/2025,Active,35,M,10,63,971982.6696,915650.4985,0.030301644,0.063334785,0.098342126,0.012079693,flat,0.038524767,IALM_2012-14_Ultimate,MP-2020,0.078934572,0.055752229,0.076689851,0.236759099,0.533553601,0.220990147,0.008697153,1263458.882,1179199.185,1.071455016,10.6610883,0,0,0.002,rate_up_100bps,100,0,-50,92009.3146,130959.9388,222592.0906,IN,INR
M00604,P001,DB,12/31/2025,Active,40,M,22,60,1843491.718,1698310.991,0.041866287,0.007237334,0.092300123,0.022300458,final_average,0.023323999,VBT-2015,MP-2021,0.088788476,0.055241647,0.093254462,0.247288094,0.521503086,0.103565968,0.127642852,10798015.36,10509690.26,1.027434215,12.61351813,0,0,0.0035,equity_down_20,0,-0.2,0,-534044.1276,1062979.74,1806742.463,IN,INR
M00605,P001,DB,12/31/2025,Active,34,M,12,66,469632.7267,433157.9671,0.041252419,0.010764242,0.034702727,0.016957396,final_average,0.071641896,IAM-2012,MP-2021,0.068751469,0.048969197,0.099194384,0.356762738,0.468390861,0.147256155,0.027590246,1274863.992,1095699.427,1.163516163,12.4309618,0,0,0.0017,high_inflation,150,-0.05,300,136782.669,165040.8906,280519.3496,IN,INR
M00606,P003,DC,12/31/2025,Active,51,F,10,62,816974.2107,719483.8961,0.065598584,0.059609525,0.162326805,,account_balance,0.139743745,RP-2014,MP-2021,0.077441865,0.033488031,0.087862345,0.23432371,0.539655749,0.220370377,0.005650163,2432871.658,2432871.658,1,11.2853954,0,0,0.0068,rate_down_100bps,-100,0,50,-208913.5274,251336.5455,427195.7332,IN,INR
M00607,P002,DB,12/31/2025,Active,53,F,5,63,2740757.188,2399779.055,0.068684847,0.07557674,0.04205599,0.015879959,final_average,0.131264732,VBT-2015,None,0.089047521,0.055898295,0.067890626,0.166550901,0.380230333,0.1682113,0.285007466,3780040.724,3321186.611,1.13815969,17.43021063,0,0,0.0074,rate_up_100bps,100,0,-50,507025.5143,281237.8709,478018.8979,IN,INR
M00608,P003,DC,12/31/2025,Active,42,M,9,66,962716.2971,902508.008,0.032817599,0.047591134,0.07234049,,account_balance,0.16,VBT-2015,MI-2012,0.080991677,0.036661153,0.082842942,0.475210131,0.319262557,0.16387003,0.041657283,1393708.351,1393708.351,1,13.80527394,0,0,0.0041,baseline,0,0,0,0,226807.7979,385504.318,IN,INR
M00609,P003,DC,12/31/2025,Active,44,M,26,65,959724.2021,872405.1022,0.048851793,0.071077067,0.07393283,,account_balance,0.084444444,RP-2014,MP-2021,0.050405225,0.03793488,0.082420517,0.592571744,0.301673529,0.083303484,0.022451243,9209528.444,9209528.444,1,14.91319955,0,0,0.0047,rate_down_100bps,-100,0,50,-1234521.807,1822579.142,3097830.566,IN,INR
M00610,P004,Hybrid,12/31/2025,Active,30,F,26,62,1673814.267,1512623.611,0.05193328,0.094571136,0.119066686,0.075989993,cash_balance,0.005345991,IAM-2012,None,0.087421626,0.052675739,0.098630598,0.297453926,0.52210253,0.106525926,0.073917618,6253735.883,6178878.595,1.012115028,15.74692505,0,0,0.0005,baseline,0,0,0,0,704099.5638,1196755.246,IN,INR
M00611,P001,DB,12/31/2025,Active,41,M,8,61,1726997.81,1616176.986,0.033716466,0.094554356,0.098729326,0.014573787,final_average,0.074461279,RP-2014,MP-2020,0.084662662,0.051507181,0.093607468,0.218423945,0.736168416,0.019036761,0.026370877,2477323.613,2618234.339,0.94618101,13.89495682,0,0,0.0038,baseline,0,0,0,0,253339.8813,430600.7952,IN,INR
M00612,P005,DB,12/31/2025,Active,43,F,3,65,548149.9323,501861.3442,0.045099908,0.030750277,0.12167713,0.022346576,final_average,0.030672487,IALM_2012-14_Ultimate,MP-2021,0.060844515,0.03217688,0.061960459,0.397006663,0.418072455,0.147284035,0.037636847,457420.3762,555230.2732,0.823839042,16.50278173,0,0,0.0044,high_inflation,150,-0.05,300,114020.0988,64053.06172,108870.7359,IN,INR
M00613,P004,Hybrid,12/31/2025,Retired,70,M,8,63,1193719.956,1097988.07,0.042683297,0.080998788,0.038387527,0.062774815,cash_balance,0.061283019,RP-2014,MP-2020,0.057262055,0.03755877,0.068803728,0.353221192,0.381656218,0.191872491,0.073250099,672118.6059,639676.0706,1.050717131,17.86356658,42645.07137,0,0.0125,high_inflation,150,-0.05,300,140294.246,85967.39932,146118.4489,IN,INR
M00614,P001,DB,12/31/2025,Active,33,F,22,65,2169713.62,1962598.955,0.051442254,0.059394405,0.088225708,0.012843964,final_average,0.012889002,RP-2014,None,0.08596897,0.054530572,0.093676957,0.487565793,0.378806011,0.088895932,0.044732264,7787830.183,6947201.355,1.121002514,12.52727385,0,0,0.0014,baseline,0,0,0,0,1289995.803,2192600.769,IN,INR
M00615,P006,DC,12/31/2025,Active,59,M,10,63,737198.257,660523.614,0.056447636,0.106118715,0.068194318,,account_balance,0.052536135,VBT-2015,MP-2021,0.077547632,0.058487491,0.098898881,0.520452866,0.362616107,0.088736507,0.02819452,1845044.582,1845044.582,1,14.79315882,0,0,0.0092,high_inflation,150,-0.05,300,311219.4098,324367.8264,551326.7129,IN,INR
M00616,P006,DC,12/31/2025,Active,54,F,15,63,832681.1844,743691.7714,0.058139404,0.067701941,0.093635023,,account_balance,0.089833665,VBT-2015,MP-2021,0.059479633,0.037989333,0.071786888,0.865072938,0.0996966,0.033009194,0.002221268,3027132.393,3027132.393,1,11.8529628,0,0,0.0077,high_inflation,150,-0.05,300,384638.1887,862289.528,1465630.104,IN,INR
M00617,P001,DB,12/31/2025,Active,47,M,10,64,997461.0916,930295.1433,0.035470201,0.077470687,0.114934699,0.019946262,final_average,0.029980677,RP-2010,None,0.078555273,0.052819504,0.087629153,0.122041066,0.833015528,0.044370984,0.000572422,1629854.054,1785268.138,0.912946363,9.621021631,0,0,0.0056,high_inflation,150,-0.05,300,145869.0642,149811.5584,254634.1139,IN,INR
M00618,P002,DB,12/31/2025,Retired,62,F,4,65,1345740.803,1192034.715,0.062517908,0.076813713,0.134311016,0.016552928,career_average,0.103189121,RP-2014,MI-2012,0.074008993,0.045169066,0.072312074,0.372262529,0.151271397,0.47383119,0.002634884,621456.5235,729570.6293,0.851811324,9.243652735,78926.65921,0,0.0101,baseline,0,0,0,0,96218.55854,163542.3037,IN,INR
M00619,P005,DB,12/31/2025,Active,48,M,10,66,517906.8844,463431.2234,0.057141681,0.049743287,0.035571255,0.013780398,final_average,0.065667377,IALM_2012-14_Ultimate,MP-2021,0.062368602,0.041401837,0.061643872,0.347622502,0.567411407,0.068951361,0.01601473,828350.1624,708438.4277,1.169262042,11.09315446,0,0,0.0059,high_inflation,150,-0.05,300,68233.44592,106086.129,180314.1743,IN,INR
M00620,P005,DB,12/31/2025,Active,48,M,17,60,242646.9177,213705.9027,0.065562997,0.079563011,0.116498819,0.024596531,final_average,0.055895831,RP-2010,None,0.072270914,0.056943518,0.093179217,0.531394333,0.210647795,0.036183172,0.2217747,898318.8197,934772.3844,0.961002737,10.46084025,0,0,0.0059,equity_down_20,0,-0.2,0,-95472.30603,158322.6083,269100.3118,IN,INR
M00621,P002,DB,12/31/2025,Active,43,F,7,64,1084871.452,987819.8005,0.047973442,0.026104033,0.094801002,0.010340566,career_average,0.036171432,RP-2014,MP-2021,0.071090699,0.046446104,0.089553983,0.404656654,0.389530912,0.176065136,0.029747298,1198412.698,1108311.822,1.081295601,15.50036321,0,0,0.0044,equity_down_20,0,-0.2,0,-96989.1344,171211.4307,291007.3922,IN,INR
M00622,P002,DB,12/31/2025,Active,56,M,16,60,1663850.438,1464869.87,0.065755591,0.012225304,0.129000003,0.018315401,final_average,0.085193483,VBT-2015,MP-2021,0.070390971,0.050752818,0.06213213,0.314350555,0.160425406,0.337634442,0.187589596,5821889.324,5653652.04,1.029757276,13.17023787,0,0,0.0083,baseline,0,0,0,0,722437.6826,1227924.475,IN,INR
M00623,P003,DC,12/31/2025,Active,55,F,11,64,855651.3828,754916.0685,0.064630965,0.057680231,0.079557612,,account_balance,0.031559492,IALM_2012-14_Ultimate,MP-2021,0.070694662,0.047773362,0.065818486,0.535592434,0.294299173,0.054943598,0.115164795,1618166.127,1618166.127,1,13.86088523,0,0,0.008,rate_down_100bps,-100,0,50,-200480.9021,289533.7481,492119.3676,IN,INR
M00624,P003,DC,12/31/2025,Active,38,M,16,66,748121.0496,681763.3501,0.047536373,0.099098488,0.153628004,,account_balance,0.072985457,IAM-2012,MP-2020,0.050016214,0.049307422,0.099981313,0.30345785,0.637558414,0.041527784,0.017455952,5908630.893,5908630.893,1,9.736076089,0,0,0.0029,equity_down_20,0,-0.2,0,-358604.0856,698984.9169,1188061.901,IN,INR
M00625,P004,Hybrid,12/31/2025,Active,31,F,13,63,913341.4805,835980.94,0.045245733,0.050074461,0.036212086,0.064548016,cash_balance,0.142222222,RP-2010,MP-2021,0.060745337,0.045518475,0.086030452,0.43502616,0.160314355,0.131920397,0.272739088,928301.6119,905741.3524,1.024908059,9.174660069,0,0,0.0008,equity_down_20,0,-0.2,0,-80767.09703,135903.4901,230994.6251,IN,INR
M00626,P003,DC,12/31/2025,Active,42,M,5,67,2020581.252,1773753.001,0.067312481,0.084379704,0.099173463,,account_balance,0.17161037,VBT-2015,MP-2021,0.067234681,0.046003264,0.092017232,0.468667786,0.425863189,0.040075757,0.065393269,2028610.924,2028610.924,1,12.9161737,0,0,0.0041,baseline,0,0,0,0,324613.0487,551743.5161,IN,INR
M00627,P003,DC,12/31/2025,Active,36,F,9,65,730107.722,651505.0042,0.058606589,0.053559062,0.125586737,,account_balance,0.018779688,IAM-2012,MP-2021,0.055090133,0.05556509,0.07554501,0.216235114,0.427446025,0.085230174,0.271088687,1457791.952,1457791.952,1,11.30118321,0,0,0.0023,baseline,0,0,0,0,123215.2906,209428.5425,IN,INR
M00628,P005,DB,12/31/2025,Active,43,F,8,67,1272669.266,1117586.248,0.067129814,0.013257287,0.032363271,0.014585737,career_average,0.135731128,RP-2014,MP-2021,0.079966578,0.03907975,0.080729867,0.219275895,0.624490664,0.155830784,0.000402657,1443616.007,1903637.605,0.758346023,14.5977144,0,0,0.0044,baseline,0,0,0,0,143998.955,244754.4548,IN,INR
M00629,P001,DB,12/31/2025,Active,56,M,7,65,585893.3476,519599.2432,0.061878991,0.039029688,0.03797246,0.013702604,career_average,0.090820357,IALM_2012-14_Ultimate,MP-2021,0.083875481,0.052091343,0.084795266,0.443947151,0.401156937,0.077360086,0.077535827,699623.144,678053.0888,1.03181175,13.60485852,0,0,0.0083,baseline,0,0,0,0,106415.52,180874.0388,IN,INR
M00630,P002,DB,12/31/2025,Active,39,F,12,61,598650.082,538499.6213,0.054371898,0.070693897,0.144874273,0.019662247,final_average,0.011832688,VBT-2015,MP-2021,0.082710888,0.038057261,0.092240823,0.574239859,0.240168646,0.161329634,0.024261861,2085283.139,2090830.82,0.997346662,16.4558037,0,0,0.0032,baseline,0,0,0,0,402567.0835,684241.6811,IN,INR
M00631,P004,Hybrid,12/31/2025,Active,44,F,29,62,1440166.63,1345362.005,0.034634111,0.09719901,0.071529275,0.100187903,cash_balance,0.020582946,VBT-2015,None,0.06838547,0.032121893,0.073556256,0.360431599,0.474061603,0.124333297,0.041173502,7693244.58,7408941.776,1.03837293,16.54686127,0,0,0.0047,high_inflation,150,-0.05,300,1426746.164,998754.4077,1697578.92,IN,INR
M00632,P006,DC,12/31/2025,Active,45,M,19,63,2054342.046,1893308.674,0.041659227,0.093125789,0.165628805,,account_balance,0.115555556,IALM_2012-14_Ultimate,MP-2021,0.077628075,0.057097098,0.086890512,0.451627741,0.362606306,0.152091894,0.033674058,20541311.69,20541311.69,1,13.83418648,0,0,0.005,baseline,0,0,0,0,3199451.067,5438094.337,IN,INR
M00633,P003,DC,12/31/2025,Deferred,52,M,20,62,1468939.033,1286022.336,0.068753696,0.088931787,0.158859181,,account_balance,0.0455252,VBT-2015,None,0.053075446,0.042319847,0.091026313,0.244932627,0.678971208,0.016427304,0.059668861,15230572.44,15230572.44,1,17.16130623,0,0,0.0071,rate_down_100bps,-100,0,50,-2096709.169,1597106.155,2714595.02,IN,INR
M00634,P003,DC,12/31/2025,Active,22,M,7,64,390731.832,359332.0897,0.042776884,0.077868535,0.069573111,,account_balance,0.089710854,VBT-2015,MP-2021,0.057975853,0.050495572,0.092205303,0.558059684,0.288384059,0.138511128,0.015045129,504985.8348,504985.8348,1,17.39557431,0,0,0.0005,baseline,0,0,0,0,94834.38152,161189.6235,IN,INR
M00635,P001,DB,12/31/2025,Active,38,F,20,64,815066.5882,762743.8008,0.033730195,0.024237646,0.135807029,0.018564267,final_average,0.111111111,RP-2014,MP-2021,0.05187757,0.052736605,0.079969646,0.30554382,0.486193235,0.018428918,0.189834027,3717029.953,3171585.377,1.171978525,11.19927513,0,0,0.0029,equity_down_20,0,-0.2,0,-227143.1065,414425.036,704396.5961,IN,INR
M00636,P003,DC,12/31/2025,Active,46,M,24,67,1096367.05,978896.1739,0.058302134,0.110965581,0.077431334,,account_balance,0.093333333,RP-2010,MP-2021,0.088617609,0.053910306,0.078934553,0.20789643,0.269328274,0.514571004,0.008204291,11014451.55,11014451.55,1,17.79746491,0,0,0.0053,baseline,0,0,0,0,1380224.718,2345962.499,IN,INR
M00637,P003,DC,12/31/2025,Active,56,M,6,63,1011361.853,901196.0678,0.05936017,0.059611842,0.159693544,,account_balance,0.102428748,IAM-2012,None,0.072972502,0.036789684,0.064181313,0.208260304,0.729368551,0.056326774,0.00604437,1429113.497,1429113.497,1,17.87334899,0,0,0.0083,equity_down_20,0,-0.2,0,-59525.52243,142916.1831,242914.0718,IN,INR
M00638,P002,DB,12/31/2025,Active,39,M,13,65,415046.5763,382689.3872,0.041418309,0.023056688,0.048176387,0.011189454,career_average,0.037767701,IALM_2012-14_Ultimate,MP-2021,0.057009601,0.049670201,0.079909002,0.362831441,0.609738845,0.02343265,0.003997063,599427.1013,533551.6748,1.123465879,9.584684412,0,0,0.0032,baseline,0,0,0,0,80181.62809,136284.3964,IN,INR
M00639,P002,DB,12/31/2025,Active,25,M,14,67,549224.1863,505931.6435,0.041906879,0.022756266,0.106711507,0.016529365,final_average,0.040751829,IAM-2012,None,0.078301818,0.052807321,0.088077337,0.071014535,0.661050081,0.114814824,0.15312056,1002308.883,1056196.245,0.948979782,9.021288692,0,0,0.0005,baseline,0,0,0,0,73126.53471,124292.8821,IN,INR
M00640,P003,DC,12/31/2025,Active,50,F,9,66,686394.4882,624058.2126,0.048755719,0.101696082,0.072501369,,account_balance,0.095094752,IALM_2012-14_Ultimate,MP-2020,0.069565152,0.033593597,0.096823519,0.271494633,0.573450394,0.08534633,0.069708643,1482944.179,1482944.179,1,9.527387475,0,0,0.0065,rate_down_100bps,-100,0,50,-98766.09183,158799.9221,269911.6002,IN,INR
M00641,P001,DB,12/31/2025,Active,38,F,11,62,955106.5119,898757.8385,0.030871558,0.096264166,0.041849606,0.010150482,career_average,0.151111111,IALM_2012-14_Ultimate,MI-2012,0.067370305,0.034239134,0.065007983,0.339104786,0.275700224,0.131996472,0.253198519,1240914.897,1218959.965,1.0180112,12.14695444,0,0,0.0029,rate_up_100bps,100,0,-50,130960.4859,146215.3528,248521.6574,IN,INR
M00642,P002,DB,12/31/2025,Active,32,M,14,64,412371.6295,365922.5011,0.06157292,0.032361297,0.111304958,0.010823182,career_average,0.117514272,VBT-2015,MI-2012,0.086538127,0.040917019,0.098755412,0.599913629,0.380827469,0.004653938,0.014604963,773548.0511,902246.6252,0.857357655,16.27245797,0,0,0.0011,baseline,0,0,0,0,155422.1032,264170.3347,IN,INR
M00643,P002,DB,12/31/2025,Active,38,M,9,63,1289933.557,1186485.119,0.042683551,0.068799202,0.097543201,0.021420103,final_average,0.039956558,RP-2014,None,0.078328243,0.039050098,0.069362895,0.423164201,0.396623161,0.129567594,0.050645044,2326297.227,3097269.527,0.75108001,13.54105934,0,0,0.0029,rate_down_100bps,-100,0,50,-373269.9366,341655.5081,580710.517,IN,INR
M00644,P002,DB,12/31/2025,Active,42,F,18,63,944261.0252,833846.1691,0.064150524,0.025808046,0.133568088,0.017159487,career_average,0.050360598,IALM_2012-14_Ultimate,MP-2021,0.077626348,0.053917034,0.067034637,0.204988571,0.642326436,0.070191001,0.082493992,2449965.913,3004692.178,0.815380002,11.66640992,0,0,0.0041,baseline,0,0,0,0,229322.5809,389778.6846,IN,INR
M00645,P001,DB,12/31/2025,Active,38,M,4,63,615726.6964,545824.3421,0.062105217,0.092795225,0.103102055,0.018890318,final_average,0.182222222,IAM-2012,MP-2021,0.053892348,0.049280964,0.064580707,0.52153722,0.23140087,0.113953222,0.133108688,306434.5978,391605.7749,0.782507862,9.495043052,0,0,0.0029,baseline,0,0,0,0,53493.76653,90923.1436,IN,INR
M00646,P006,DC,12/31/2025,Active,22,M,8,66,1074229.424,962485.3972,0.056456081,0.100084303,0.099714349,,account_balance,0.06748571,RP-2010,MP-2021,0.053681147,0.044939207,0.099605458,0.415867395,0.382711669,0.201336766,8.42E-05,2249180.121,2249180.121,1,12.56261279,0,0,0.0005,baseline,0,0,0,0,331525.1691,563492.0199,IN,INR
M00647,P004,Hybrid,12/31/2025,Active,53,M,16,64,515034.8509,473447.8721,0.042994995,0.080267685,0.082890207,0.099491248,cash_balance,0.077213418,IAM-2012,MP-2020,0.076577332,0.033192166,0.082440741,0.262488587,0.501793402,0.20336325,0.032354761,1158935.235,1117081.685,1.037466866,9.325467134,0,0,0.0074,high_inflation,150,-0.05,300,97433.31038,124403.8778,211448.7795,IN,INR
M00648,P004,Hybrid,12/31/2025,Deferred,57,M,27,64,961799.6147,871297.0988,0.050652662,0.004935404,0.085534448,0.07263783,cash_balance,0.048998633,RP-2014,MP-2020,0.056259621,0.033377017,0.070823999,0.532094839,0.432341395,0.019623404,0.015940363,2508295.081,2796591.265,0.896911577,10.55451238,0,0,0.0086,high_inflation,150,-0.05,300,294684.3292,452062.041,768368.0649,IN,INR
M00649,P005,DB,12/31/2025,Active,51,M,19,68,437869.9074,398835.6517,0.04779317,0.059850597,0.144525747,0.014990596,final_average,0.115555556,RP-2010,MP-2021,0.068130139,0.045510463,0.072701368,0.372708534,0.49911892,0.025481683,0.102690863,1536826.582,1920754.535,0.800116076,16.90851244,0,0,0.0068,rate_down_100bps,-100,0,50,-286418.0583,203250.4038,345463.9082,IN,INR
M00650,P003,DC,12/31/2025,Active,33,F,11,61,467589.8359,429372.4216,0.043555275,0.099117723,0.137023293,,account_balance,0.125806492,VBT-2015,None,0.072792203,0.056486304,0.098010847,0.137039584,0.581269351,0.256934294,0.024756771,1865240.027,1865240.027,1,15.85463036,0,0,0.0014,rate_up_100bps,100,0,-50,241516.5687,165752.3629,281728.6363,IN,INR
M00651,P001,DB,12/31/2025,Active,42,M,10,64,802654.0842,709097.6126,0.063925452,0.029299691,0.083546258,0.016363565,final_average,0.093166727,IAM-2012,MP-2021,0.065523624,0.053252196,0.095998739,0.435731753,0.492644513,0.068326799,0.003296934,1830423.697,2084130.235,0.878267426,17.96142973,0,0,0.0041,baseline,0,0,0,0,278182.7691,472826.1535,IN,INR
M00652,P003,DC,12/31/2025,Active,44,F,9,65,713316.0551,647812.4773,0.049340283,0.110707544,0.101460906,,account_balance,0.033480822,IAM-2012,MP-2020,0.053406185,0.056447058,0.073999343,0.32220959,0.265123301,0.412282666,0.000384443,1705653.04,1705653.04,1,17.04980414,0,0,0.0047,rate_up_100bps,100,0,-50,268200.0846,232280.1018,394805.5713,IN,INR
M00653,P004,Hybrid,12/31/2025,Active,50,M,9,62,1170486.353,1035255.239,0.063308924,0.05800248,0.081961277,0.116042391,cash_balance,0.028290281,IALM_2012-14_Ultimate,MP-2020,0.079734033,0.046954409,0.062543418,0.384136317,0.405594426,0.208629049,0.001640208,1474511.719,1360996.434,1.083406012,16.70145629,0,0,0.0065,baseline,0,0,0,0,204690.5063,347911.6447,IN,INR
M00654,P005,DB,12/31/2025,Active,51,M,3,64,976377.3725,912853.9512,0.034208739,0.070648564,0.063985875,0.01748765,career_average,0.071710109,IALM_2012-14_Ultimate,None,0.085401279,0.0366413,0.093340896,0.416493069,0.289624854,0.075442697,0.21843938,442357.0502,506337.2227,0.873641183,10.57269853,0,0,0.0068,baseline,0,0,0,0,62289.21024,105872.7245,IN,INR
M00655,P003,DC,12/31/2025,Active,37,F,26,62,2533666.51,2362277.901,0.035640992,0.082990335,0.14346571,,account_balance,0.008722258,RP-2010,MP-2020,0.056467333,0.030954221,0.096576885,0.341308051,0.499715151,0.156148662,0.002828136,46110134.1,46110134.1,1,14.83492539,0,0,0.0026,high_inflation,150,-0.05,300,7745573.036,5831041.015,9910997.373,IN,INR
M00656,P001,DB,12/31/2025,Active,45,M,10,66,873861.5238,764560.3968,0.069092812,0.056740158,0.058038726,0.011036453,flat,0.068528849,VBT-2015,MI-2012,0.084164144,0.058208225,0.093501333,0.394934678,0.427400749,0.16427339,0.013391183,1270907.051,1215482.884,1.045598476,14.40480986,0,0,0.005,baseline,0,0,0,0,178442.9563,303298.7877,IN,INR
M00657,P002,DB,12/31/2025,Active,49,M,6,63,223075.4423,200989.7126,0.053510739,0.017045953,0.071268384,0.019280054,final_average,0.109377887,IALM_2012-14_Ultimate,MI-2012,0.081547838,0.044256832,0.096519171,0.483811117,0.419135688,0.021487737,0.075565457,451545.3596,401332.0989,1.125116483,17.26118347,0,0,0.0062,rate_down_100bps,-100,0,50,-59811.73116,74288.78087,126268.3473,IN,INR
M00658,P003,DC,12/31/2025,Active,59,M,13,63,394173.8891,357261.3579,0.050390787,0.083571124,0.060149145,,account_balance,0.113261336,IAM-2012,MP-2020,0.072554411,0.05577052,0.083036081,0.151834007,0.588849367,0.057617212,0.201699413,1121053.75,1121053.75,1,16.02916699,0,0,0.0092,baseline,0,0,0,0,86934.64937,147762.48,IN,INR
M00659,P004,Hybrid,12/31/2025,Active,51,M,7,64,574780.2102,520424.0201,0.050926243,0.062311949,0.090626946,0.111679409,cash_balance,0.040680386,RP-2010,MP-2021,0.073844013,0.051989432,0.093586354,0.201272871,0.686373892,0.109074775,0.003278461,507918.4692,480423.9108,1.057229788,15.97262035,0,0,0.0068,rate_down_100bps,-100,0,50,-59305.18853,49343.76957,83869.41017,IN,INR
M00660,P003,DC,12/31/2025,Active,52,F,17,62,4515572.277,4186076.594,0.038610751,0.076099604,0.134790663,,account_balance,0.044727243,IALM_2012-14_Ultimate,MP-2021,0.076062724,0.05496501,0.097756476,0.326371128,0.569371492,0.068379393,0.035877987,33159936.9,33159936.9,1,11.92264099,0,0,0.0071,high_inflation,150,-0.05,300,3973163.839,4043646.341,6872969.708,IN,INR
M00661,P002,DB,12/31/2025,Active,45,M,6,63,968471.7456,863975.8826,0.058748158,0.044088023,0.076143206,0.018570191,final_average,0.053845238,IALM_2012-14_Ultimate,None,0.070990459,0.036319602,0.095596129,0.364907082,0.511438133,0.071180014,0.052474771,1144338.636,974177.8098,1.17467122,10.11973159,0,0,0.005,high_inflation,150,-0.05,300,83103.02464,149901.2147,254786.5022,IN,INR
M00662,P006,DC,12/31/2025,Active,58,F,16,63,1621462.714,1518369.347,0.033391225,0.113418065,0.112176385,,account_balance,0.128888889,RP-2014,MP-2020,0.083773709,0.050383278,0.083487046,0.381769095,0.37112175,0.196496957,0.050612198,10409158.15,10409158.15,1,12.32150085,0,0,0.0089,rate_up_100bps,100,0,-50,1089411.26,1420491.537,2414403.852,IN,INR
M00663,P004,Hybrid,12/31/2025,Active,48,M,9,63,1549192.052,1397345.589,0.052932949,0.064833632,0.138484289,0.059410737,cash_balance,0.019707002,RP-2010,MP-2021,0.068963947,0.051680879,0.089861241,0.327886395,0.423088736,0.096820205,0.152204664,858437.8746,912642.0064,0.940607455,10.87588995,0,0,0.0059,high_inflation,150,-0.05,300,107573.7508,100669.1303,171106.9231,IN,INR
M00664,P002,DB,12/31/2025,Active,35,M,12,64,556761.1668,502286.8554,0.052830752,0.047011977,0.07898374,0.017030933,final_average,0.085658306,RP-2010,MP-2021,0.071882107,0.046578522,0.088852118,0.542788153,0.382729007,0.029845356,0.044637485,1547643.643,1596182.114,0.969590894,15.54930394,0,0,0.002,baseline,0,0,0,0,282639.2176,480400.7614,IN,INR
